layer_id	layer_name	comp_time	comm_size
0	attention	3199518	0
0	moe	2196950	1525678080
1	attention	3199518	0
1	moe	2196950	1525678080
2	attention	3199518	0
2	moe	2196950	1525678080
3	attention	1488915	0
3	moe	2196950	1525678080
4	attention	3199518	0
4	moe	2196950	1525678080
5	attention	3199518	0
5	moe	2196950	1525678080
6	attention	3199518	0
6	moe	2196950	1525678080
7	attention	1488915	0
7	moe	2196950	1525678080
8	attention	3199518	0
8	moe	2196950	1525678080
9	attention	3199518	0
9	moe	2196950	1525678080
10	attention	3199518	0
10	moe	2196950	1525678080
11	attention	1488915	0
11	moe	2196950	1525678080
12	attention	3199518	0
12	moe	2196950	1525678080
13	attention	3199518	0
13	moe	2196950	1525678080
14	attention	3199518	0
14	moe	2196950	1525678080
15	attention	1488915	0
15	moe	2196950	1525678080
16	attention	3199518	0
16	moe	2196950	1525678080
17	attention	3199518	0
17	moe	2196950	1525678080
18	attention	3199518	0
18	moe	2196950	1525678080
19	attention	1488915	0
19	moe	2196950	1525678080
20	attention	3199518	0
20	moe	2196950	1525678080
21	attention	3199518	0
21	moe	2196950	1525678080
22	attention	3199518	0
22	moe	2196950	1525678080
23	attention	1488915	0
23	moe	2196950	1525678080
24	attention	3199518	0
24	moe	2196950	1525678080
25	attention	3199518	0
25	moe	2196950	1525678080
26	attention	3199518	0
26	moe	2196950	1525678080
27	attention	1488915	0
27	moe	2196950	1525678080
28	attention	3199518	0
28	moe	2196950	1525678080
29	attention	3199518	0
29	moe	2196950	1525678080
30	attention	3199518	0
30	moe	2196950	1525678080
31	attention	1488915	0
31	moe	2196950	1525678080
32	attention	3199518	0
32	moe	2196950	1525678080
33	attention	3199518	0
33	moe	2196950	1525678080
34	attention	3199518	0
34	moe	2196950	1525678080
35	attention	1488915	0
35	moe	2196950	1525678080
36	attention	3199518	0
36	moe	2196950	1525678080
37	attention	3199518	0
37	moe	2196950	1525678080
38	attention	3199518	0
38	moe	2196950	1525678080
39	attention	1488915	0
39	moe	2196950	1525678080
40	attention	3199518	0
40	moe	2196950	1525678080
41	attention	3199518	0
41	moe	2196950	1525678080
42	attention	3199518	0
42	moe	2196950	1525678080
43	attention	1488915	0
43	moe	2196950	1525678080
44	attention	3199518	0
44	moe	2196950	1525678080
45	attention	3199518	0
45	moe	2196950	1525678080
46	attention	3199518	0
46	moe	2196950	1525678080
47	attention	1488915	0
47	moe	2196950	1525678080
