layer_id	layer_name	comp_time	comm_size
0	attention	24928	0
0	moe	75551	62080
1	attention	24928	0
1	moe	75551	62080
2	attention	24928	0
2	moe	75551	62080
3	attention	38188	0
3	moe	75551	62080
4	attention	24928	0
4	moe	75551	62080
5	attention	24928	0
5	moe	75551	62080
6	attention	24928	0
6	moe	75551	62080
7	attention	38188	0
7	moe	75551	62080
8	attention	24928	0
8	moe	75551	62080
9	attention	24928	0
9	moe	75551	62080
10	attention	24928	0
10	moe	75551	62080
11	attention	38188	0
11	moe	75551	62080
12	attention	24928	0
12	moe	75551	62080
13	attention	24928	0
13	moe	75551	62080
14	attention	24928	0
14	moe	75551	62080
15	attention	38188	0
15	moe	75551	62080
16	attention	24928	0
16	moe	75551	62080
17	attention	24928	0
17	moe	75551	62080
18	attention	24928	0
18	moe	75551	62080
19	attention	38188	0
19	moe	75551	62080
20	attention	24928	0
20	moe	75551	62080
21	attention	24928	0
21	moe	75551	62080
22	attention	24928	0
22	moe	75551	62080
23	attention	38188	0
23	moe	75551	62080
24	attention	24928	0
24	moe	75551	62080
25	attention	24928	0
25	moe	75551	62080
26	attention	24928	0
26	moe	75551	62080
27	attention	38188	0
27	moe	75551	62080
28	attention	24928	0
28	moe	75551	62080
29	attention	24928	0
29	moe	75551	62080
30	attention	24928	0
30	moe	75551	62080
31	attention	38188	0
31	moe	75551	62080
32	attention	24928	0
32	moe	75551	62080
33	attention	24928	0
33	moe	75551	62080
34	attention	24928	0
34	moe	75551	62080
35	attention	38188	0
35	moe	75551	62080
36	attention	24928	0
36	moe	75551	62080
37	attention	24928	0
37	moe	75551	62080
38	attention	24928	0
38	moe	75551	62080
39	attention	38188	0
39	moe	75551	62080
40	attention	24928	0
40	moe	75551	62080
41	attention	24928	0
41	moe	75551	62080
42	attention	24928	0
42	moe	75551	62080
43	attention	38188	0
43	moe	75551	62080
44	attention	24928	0
44	moe	75551	62080
45	attention	24928	0
45	moe	75551	62080
46	attention	24928	0
46	moe	75551	62080
47	attention	38188	0
47	moe	75551	62080
